Value,Designator,Footprint,LCSC Part Number
10uF,C1,Capacitor_SMD:C_0603_1608Metric,C1691
100nF,"C2,C3,C4,C5,C9,C10,C11",Capacitor_SMD:C_0402_1005Metric,C1581
10nF,"C6,C8",Capacitor_SMD:C_0402_1005Metric,C1524
1uF,C7,Capacitor_SMD:C_0402_1005Metric,C52923
10pF,"C12,C13",Capacitor_SMD:C_0402_1005Metric,C1545
22uF,"C14,C15",Capacitor_SMD:C_0805_2012Metric,C1859
LED,D1,LED_SMD:LED_0603_1608Metric,C94740
FerriteBead,FB1,Inductor_SMD:L_0603_1608Metric,C1512738
USB_B_Micro,J1,Connector_USB:USB_Micro-B_Wuerth_629105150521,C2762988
10k,R1,Resistor_SMD:R_0402_1005Metric,C25744
2k2,"R2,R3,R4,R5,R6,R7",Resistor_SMD:R_0402_1005Metric,C25879
SW_SPDT,SW1,Button_Switch_SMD:SW_SPDT_PCM12,C221841
STM32F103C8Tx,U1,Package_QFP:LQFP-48_7x7mm_P0.5mm,C8734
BMA400,U2,BMA400:XDCR_BMA400,C437655
AMS1117-3.3,U3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
16Mhz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,"C112972
"
