Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J5,JST PH,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,80.4,-75.55,180,bottom
C1,10u,C_0603_1608Metric,58.325,-50.4,0,top
C2,100n,C_0402_1005Metric,58.32,-51.9875,0,top
C3,100n,C_0402_1005Metric,55,-54.4875,90,top
C4,100n,C_0402_1005Metric,66.9,-55.12,-90,top
C5,100n,C_0402_1005Metric,63.82,-63.8875,180,top
C6,10n,C_0402_1005Metric,54.1,-60.9075,90,top
C7,1u,C_0603_1608Metric,51.775,-61.5,180,top
C8,10n,C_0402_1005Metric,51.38,-65.1875,180,top
C9,100n,C_0402_1005Metric,49.2,-42.72,-90,top
C10,100n,C_0402_1005Metric,64,-50.0075,-90,top
C11,100n,C_0402_1005Metric,68.775,-48.8925,90,top
C12,10p,C_0402_1005Metric,53.4,-55.5075,90,top
C13,10p,C_0402_1005Metric,54.2,-58.0675,90,top
C14,4.7uF,C_0603_1608Metric,76.3,-66.025,90,top
C15,4.7uF,C_0603_1608Metric,80.57,-66.4,180,top
C16,1uF,C_0603_1608Metric,74.8,-63,90,top
C17,4.7uF,C_0603_1608Metric,73.2,-70.125,-90,top
D1,LED,LED_0603_1608Metric,81.9,-64.0125,-90,top
FB1,FerriteBead,L_0603_1608Metric,53.4,-63.875,90,top
J1,USB_B_Micro,USB_Micro-B_Wuerth_629105150521,79.95,-56.8,90,top
J2,SWLINK,PinSocket_1x04_P2.54mm_Vertical,79.4,-42.425,-90,top
R1,10k,R_0402_1005Metric,44.9,-74.19,90,top
R2,2k2,R_0402_1005Metric,62.8,-48.8975,90,top
R3,2k2,R_0402_1005Metric,65.19,-46.7,0,top
R4,1k5,R_0402_1005Metric,71.6,-56.09,-90,top
R5,2k2,R_0402_1005Metric,58.69,-67.1,0,top
R6,2k2,R_0402_1005Metric,62.09,-67.1,0,top
R7,2k2,R_0402_1005Metric,79.6,-63.91,-90,top
R8,10k,R_0402_1005Metric,51.2,-47.29,-90,top
R9,1k,R_0402_1005Metric,72.5,-60.01,90,top
R10,2k,R_0402_1005Metric,71.1,-60,90,top
R11,10k,R_0402_1005Metric,70.59,-68.4,180,top
R12,10k,R_0402_1005Metric,53,-75.59,90,top
SW1,SW_SPDT,SW_SPDT_PCM12,46.75,-81.27,0,top
SW2,SW_NRST,SW_SPST_PTS647_Sx38,53.975,-43.1,0,top
SW3,SW_SPDT,SW_SPDT_PCM12,56.35,-81.27,0,top
U1,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,60.8375,-58.0375,0,top
U2,BMA400,XDCR_BMA400,66.025,-48.6375,0,top
U4,BQ24092DGQR,IC_XTR111AIDGQR,72,-64.45,-90,top
U5,TPS7A0533PDBV,SOT-23-5,79.2625,-68.85,0,top
Y1,16Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,50.85,-57.0875,-90,top
